ed_level_enc,is_employed,is_remote,is_student,years_code,years_code_pro,devtype_developer_full_stack,devtype_developer_back_end,devtype_developer_front_end,devtype_developer_mobile,devtype_data_scientist_or_machine_learning_specialist,devtype_devops_specialist,devtype_engineering_manager,devtype_data_engineer,devtype_developer_desktop_or_enterprise_applications,devtype_security_professional,above_median_salary,ConvertedCompYearly,age_group,age_exp_pro,age_exp_total,exp_pro_bracket,exp_total_bracket
6.0,1,0,0,6.0,4.0,0,0,0,0,0,0,0,0,0,0,1,130000.0,experienced,experienced_junior,experienced_mid,junior,mid
4.0,1,1,0,16.0,12.0,1,0,0,0,0,0,0,0,0,0,1,175000.0,experienced,experienced_mid,experienced_senior,mid,senior
4.0,1,0,0,15.0,7.0,1,0,0,0,0,0,0,0,0,0,1,150000.0,young,young_mid,young_senior,mid,senior
5.0,1,1,0,12.0,7.0,0,0,1,0,0,0,0,0,0,0,1,117741.0,young,young_mid,young_mid,mid,mid
4.0,1,0,0,15.0,8.0,1,0,0,0,0,0,0,0,0,0,1,106000.0,experienced,experienced_mid,experienced_senior,mid,senior
5.0,1,1,0,12.0,11.0,1,0,0,0,0,0,0,0,0,0,1,150000.0,experienced,experienced_mid,experienced_mid,mid,mid
2.0,1,1,0,9.0,5.0,1,0,0,0,0,0,0,0,0,0,0,63335.0,young,young_mid,young_mid,mid,mid
5.0,1,0,0,15.0,10.0,0,1,0,0,0,0,0,0,0,0,1,350000.0,experienced,experienced_mid,experienced_senior,mid,senior
4.0,1,0,0,6.0,2.0,0,0,0,0,0,1,0,0,0,0,0,5106.0,young,young_junior,young_mid,junior,mid
4.0,1,0,0,4.0,1.0,1,0,0,0,0,0,0,0,0,0,1,85000.0,young,young_junior,young_junior,junior,junior
5.0,1,0,0,39.0,40.0,1,0,0,0,0,0,0,0,0,0,1,180000.0,experienced,experienced_senior,experienced_senior,senior,senior
4.0,1,1,0,10.0,5.0,0,1,0,0,0,0,0,0,0,0,1,150000.0,young,young_mid,young_mid,mid,mid
4.0,1,1,0,11.0,3.0,0,0,0,0,0,0,0,0,0,1,0,51624.0,young,young_junior,young_mid,junior,mid
4.0,1,1,0,13.0,8.0,1,0,0,0,0,0,0,0,0,0,0,41469.0,young,young_mid,young_mid,mid,mid
6.0,1,1,0,20.0,15.0,1,0,0,0,0,0,0,0,0,0,1,96000.0,experienced,experienced_senior,experienced_senior,senior,senior
